"date","BUD","RI.PA","HEINY"
"2011-11-14",45.15395,58.430672,19.920132
"2011-11-15",45.02861,58.122662,20.006554
"2011-11-16",44.871929,57.634941,19.626301
"2011-11-17",44.754436,57.297382,19.531235
"2011-11-18",45.224453,57.193531,19.401604
"2011-11-19",45.224453,57.193531,19.401604
"2011-11-20",45.224453,57.193531,19.401604
"2011-11-21",44.903271,55.194176,19.055918
"2011-11-22",45.584808,56.45784,19.038635
"2011-11-23",44.550755,56.553036,18.528751
"2011-11-24",44.550755,56.10297,18.528751
"2011-11-25",44.135559,57.124283,18.433683
"2011-11-26",44.135559,57.124283,18.433683
"2011-11-27",44.135559,57.124283,18.433683
"2011-11-28",45.608311,58.829357,19.202833
"2011-11-29",45.780659,60.153591,19.159624
"2011-11-30",47.002724,60.620979,20.283098
"2011-12-01",46.853878,59.68623,20.248531
"2011-12-02",46.932217,59.582329,19.902845
"2011-12-03",46.932217,59.582329,19.902845
"2011-12-04",46.932217,59.582329,19.902845
"2011-12-05",47.159405,60.049736,20.17075
"2011-12-06",46.767712,60.023762,20.248531
"2011-12-07",47.135899,60.655609,20.525082
"2011-12-08",46.501354,60.88063,20.084333
"2011-12-09",46.470036,59.980499,20.153473
"2011-12-10",46.470036,59.980499,20.153473
"2011-12-11",46.470036,59.980499,20.153473
"2011-12-12",45.851154,60.049736,19.833708
"2011-12-13",45.279293,60.067051,19.367033
"2011-12-14",44.958107,59.123634,18.99542
"2011-12-15",45.490799,58.422562,18.99542
"2011-12-16",45.404633,57.903244,18.969496
"2011-12-17",45.404633,57.903244,18.969496
"2011-12-18",45.404633,57.903244,18.969496
"2011-12-19",45.835487,58.526421,19.228762
"2011-12-20",46.360355,59.037083,19.686792
"2011-12-21",46.235008,58.855328,19.522591
"2011-12-22",46.783379,59.573708,19.479382
"2011-12-23",47.026226,60.344009,19.850994
"2011-12-24",47.026226,60.344009,19.850994
"2011-12-25",47.026226,60.344009,19.850994
"2011-12-26",47.026226,60.344009,19.850994
"2011-12-27",47.558914,60.482498,20.101612
"2011-12-28",47.112389,60.871975,19.825069
"2011-12-29",47.950615,61.330708,20.058401
"2011-12-30",47.778271,62.023117,19.902845
"2011-12-31",47.778271,62.023117,19.902845
"2012-01-01",47.778271,62.023117,19.902845
"2012-01-02",47.778271,62.724182,19.902845
"2012-01-03",48.075947,62.369335,20.913979
"2012-01-04",47.018391,61.988506,20.551014
"2012-01-05",46.963554,61.910606,20.352238
"2012-01-06",46.156673,62.256817,20.041121
"2012-01-07",46.156673,62.256817,20.041121
"2012-01-08",46.156673,62.256817,20.041121
"2012-01-09",47.692093,63.485847,20.404089
"2012-01-10",47.887939,64.334061,20.300385
"2012-01-11",47.402252,63.935902,19.548519
"2012-01-12",47.778271,64.022453,19.496664
"2012-01-13",46.705036,63.407951,19.263327
"2012-01-14",46.705036,63.407951,19.263327
"2012-01-15",46.705036,63.407951,19.263327
"2012-01-16",46.705036,63.996521,19.263327
"2012-01-17",47.58242,64.117699,19.686792
"2012-01-18",48.538147,64.334061,20.049761
"2012-01-19",48.921997,63.641644,20.188036
"2012-01-20",48.655655,63.96188,20.257174
"2012-01-21",48.655655,63.96188,20.257174
"2012-01-22",48.655655,63.96188,20.257174
"2012-01-23",47.895782,63.762821,20.17075
"2012-01-24",48.130787,63.200226,20.144825
"2012-01-25",48.702652,64.039787,20.404089
"2012-01-26",48.483307,64.922623,20.248531
"2012-01-27",48.216965,63.615677,20.179398
"2012-01-28",48.216965,63.615677,20.179398
"2012-01-29",48.216965,63.615677,20.179398
"2012-01-30",47.872272,63.122334,20.084333
"2012-01-31",47.629425,63.520454,19.989265
"2012-02-01",49.149178,64.706238,20.741137
"2012-02-02",49.360691,64.360023,20.697924
"2012-02-03",50.574928,66.194931,20.965832
"2012-02-04",50.574928,66.194931,20.965832
"2012-02-05",50.574928,66.194931,20.965832
"2012-02-06",50.175404,65.580414,20.827555
"2012-02-07",50.778606,65.519829,21.000399
"2012-02-08",50.48875,65.779472,20.879408
"2012-02-09",51.115463,66.402657,21.251022
"2012-02-10",50.347748,66.870018,20.784349
"2012-02-11",50.347748,66.870018,20.784349
"2012-02-12",50.347748,66.870018,20.784349
"2012-02-13",50.90395,66.117043,20.888046
"2012-02-14",50.692432,66.342064,20.758415
"2012-02-15",50.316414,67.320114,21.302874
"2012-02-16",51.209476,64.870674,21.769548
"2012-02-17",51.209476,64.541771,21.925108
"2012-02-18",51.209476,64.541771,21.925108
"2012-02-19",51.209476,64.541771,21.925108
"2012-02-20",51.209476,65.138985,21.925108
"2012-02-21",51.303467,65.22554,22.728827
"2012-02-22",51.507153,65.485199,22.711542
"2012-02-23",51.702999,67.077751,22.849817
"2012-02-24",51.898838,66.463234,22.832531
"2012-02-25",51.898838,66.463234,22.832531
"2012-02-26",51.898838,66.463234,22.832531
"2012-02-27",51.69516,66.7575,22.884386
"2012-02-28",52.36887,66.844063,22.910309
"2012-02-29",52.682217,67.216232,22.737471
"2012-03-01",53.598774,67.899994,22.918951
"2012-03-02",52.392368,67.397995,22.512774
"2012-03-03",52.392368,67.397995,22.512774
"2012-03-04",52.392368,67.397995,22.512774
"2012-03-05",52.682217,68.748215,22.936239
"2012-03-06",51.60899,67.069077,22.270796
"2012-03-07",52.384541,67.519165,22.936239
"2012-03-08",54.491829,68.981895,23.273283
"2012-03-09",54.491829,68.947281,23.0313
"2012-03-10",54.491829,68.947281,23.0313
"2012-03-11",54.491829,68.947281,23.0313
"2012-03-12",55.533714,70.081108,23.428841
"2012-03-13",56.160423,70.704269,23.696747
"2012-03-14",55.956741,71.059143,23.376986
"2012-03-15",55.933247,69.570442,23.575756
"2012-03-16",56.669605,69.371391,23.541189
"2012-03-17",56.669605,69.371391,23.541189
"2012-03-18",56.669605,69.371391,23.541189
"2012-03-19",56.708786,68.324097,23.731314
"2012-03-20",56.700947,67.986557,23.567118
"2012-03-21",56.763622,67.934608,23.653538
"2012-03-22",56.888966,67.571098,23.679464
"2012-03-23",56.520763,67.190262,23.662178
"2012-03-24",56.520763,67.190262,23.662178
"2012-03-25",56.520763,67.190262,23.662178
"2012-03-26",57.562672,68.427971,24.52639
"2012-03-27",57.100479,68.237549,24.215277
"2012-03-28",56.669605,67.571098,24.085644
"2012-03-29",56.403263,66.818092,23.860949
"2012-03-30",56.967304,67.856735,23.99058
"2012-03-31",56.967304,67.856735,23.99058
"2012-04-01",56.967304,67.856735,23.99058
"2012-04-02",57.515667,68.61837,24.293051
"2012-04-03",57.594006,68.038475,24.007864
"2012-04-04",55.909744,65.86602,23.264637
"2012-04-05",55.502377,66.437279,23.290567
"2012-04-06",55.502377,66.437279,23.290567
"2012-04-07",55.502377,66.437279,23.290567
"2012-04-08",55.502377,66.437279,23.290567
"2012-04-09",55.36137,66.437279,23.152294
"2012-04-10",54.89135,65.121674,22.754753
"2012-04-11",55.690384,65.684273,23.083151
"2012-04-12",56.630444,66.558441,23.852304
"2012-04-13",55.51022,65.597725,23.299206
"2012-04-14",55.51022,65.597725,23.299206
"2012-04-15",55.51022,65.597725,23.299206
"2012-04-16",56.465942,66.644997,23.774527
"2012-04-17",56.747963,67.683617,23.860949
"2012-04-18",57.860355,68.289474,24.638111
"2012-04-19",57.343315,68.116379,24.44556
"2012-04-20",57.014309,67.674965,24.471819
"2012-04-21",57.014309,67.674965,24.471819
"2012-04-22",57.014309,67.674965,24.471819
"2012-04-23",56.356266,66.220901,24.042946
"2012-04-24",57.224281,68.263519,24.165485
"2012-04-25",57.504593,69.11174,24.331778
"2012-04-26",58.18536,69.544487,24.261759
"2012-04-27",58.177357,69.631042,24.095463
"2012-04-28",58.177357,69.631042,24.095463
"2012-04-29",58.177357,69.631042,24.095463
"2012-04-30",58.161324,67.865379,23.999186
"2012-05-01",58.633862,67.865379,24.226748
"2012-05-02",58.401608,69.042496,23.815382
"2012-05-03",59.53088,69.933983,23.946672
"2012-05-04",58.914173,69.224251,23.544058
"2012-05-05",58.914173,69.224251,23.544058
"2012-05-06",58.914173,69.224251,23.544058
"2012-05-07",60.003403,70.081108,23.736616
"2012-05-08",58.305485,67.813438,23.316498
"2012-05-09",57.432522,68.246201,23.228971
"2012-05-10",57.312393,67.865379,22.843868
"2012-05-11",57.624725,69.016518,23.325247
"2012-05-12",57.624725,69.016518,23.325247
"2012-05-13",57.624725,69.016518,23.325247
"2012-05-14",57.256313,68.107727,22.975151
"2012-05-15",56.72773,68.073097,22.843868
"2012-05-16",56.143055,68.01252,22.502522
"2012-05-17",55.574425,68.609734,22.362482
"2012-05-18",54.725475,65.935272,21.84609
"2012-05-19",54.725475,65.935272,21.84609
"2012-05-20",54.725475,65.935272,21.84609
"2012-05-21",55.037827,66.20359,22.143669
"2012-05-22",54.973747,66.419968,21.811083
"2012-05-23",54.132797,65.909317,21.460979
"2012-05-24",54.957733,66.428612,21.198406
